"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"50",53,21,0,19,284,9.4,15.46,2.74,11.24,2.42,1,2,0,-1,-1,1,2,0,0,2,0,0,0,0,1,2,1,0,1,29,1,0,0,0,0,0,0,0,0,1,9,6,1,0,1,4,1,3,1,30,0,18,12,5,285.59,0,48,0,13.35,2.59,661.55,1,45,3.81,2199.2,7.7,0,0,0,1,13.75,2.62,540,6.29,1,57.05,4.04,2716.6,7.91,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,0,0,0,"1","0","December","3","0","1","4","0","92.4","0","2","1","2","2","3","high_spend_cust"
"63",78,16,0,18,32,23.1,3.17,1.15,4.22,1.44,0,5,1,17,4,2,9,0,0,0,0,0,0,9,0,1,0,0,6,22,1,0,1,1,1,1,0,0,0,0,9,4,0,0,0,2,3,4,0,19,0,12,11,7,120.6,0,39,0,6.75,1.91,234.75,1,43.75,3.78,1739.95,7.46,0,0,0,1,16.5,2.8,620,6.43,1,32.2,3.47,1224.05,7.11,1,1,1,1,1,1,1,0,1,20,1,1,1,0,1,0,0,1,0,0,0,0,"2","1","June","2","1","2","4","0","14.8","0","3","3","1","2","0","low_spend_cust"
"69",21,12,1,1,22,2.7,0.28,-1.29,0.32,-1.14,1,1,1,12,2,2,0,0,0,0,0,0,0,0,1,3,1,1,1,29,1,0,0,0,0,0,0,1,0,0,2,2,0,1,1,5,1,4,0,3,0,2,16,7,174.36,1,6,0,4.55,1.52,26.35,0,0,2.3,0,4.55,0,0,0,0,0,1.83,0,3.22,0,0,2.82,0,4.48,1,0,0,0,0,0,1,0,1,17,1,1,1,0,1,0,0,0,0,0,0,0,"2","1","May","3","0","3","1","0","11.5","0","3","1","2","1","0","medium_spend_cust"
"70",62,9,1,31,14,15,0.58,-0.55,1.52,0.42,0,1,1,11,1,2,3,0,1,0,0,2,0,0,1,3,0,0,1,18,1,0,1,1,0,0,0,0,0,0,9,3,0,0,0,2,2,1,0,37,0,28,7,1,15.58,0,70,0,41.75,3.73,2817.05,1,28.75,3.36,2108.75,7.65,0,0,0,1,38.25,3.64,2655,7.88,0,0,2.83,0,7.08,1,0,0,1,0,1,1,0,1,16,1,1,1,0,0,0,0,0,1,0,0,0,"1","1","September","5","1","3","5","1","5.1","0","3","3","4","3","0","low_spend_cust"
"84",64,10,0,36,327,11.7,15.53,2.74,22.73,3.12,0,5,1,16,3,2,0,0,0,0,0,0,0,0,0,2,1,0,10,23,0,1,0,0,1,0,1,0,0,1,9,4,0,0,1,1,3,1,1,40,0,30,9,2,121.16,0,72,0,100.7,4.61,7400.85,1,65.75,4.19,4707,8.46,0,0,0,1,24.25,3.19,1770,7.48,0,0,3.15,0,7.38,1,1,1,1,1,1,1,0,1,16,1,1,1,0,1,0,0,0,1,0,0,0,"2","0","February","6","0","2","5","0","85.8","1","2","4","3","3","1","medium_spend_cust"
"86",66,16,0,21,96,15.6,8.33,2.12,6.65,1.89,0,5,1,20,5,2,0,0,0,0,0,0,0,0,1,2,1,1,1,31,1,0,1,0,0,0,0,0,0,0,9,5,0,0,1,2,3,1,0,38,0,28,13,7,183.13,0,70,0,24.55,3.2,1858.25,1,25.5,3.24,1819.25,7.51,0,0,0,1,34,3.53,2385,7.78,0,0,3.04,0,7.28,1,1,0,1,1,1,1,0,1,22,1,1,1,0,1,0,1,0,1,0,0,1,"4","0","July","1","1","1","5","1","44.1","0","3","1","3","2","1","medium_spend_cust"
"87",55,16,0,29,143,10.9,9.66,2.27,5.92,1.78,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,5,1,0,1,23,1,0,0,1,0,0,0,0,0,0,9,5,0,0,1,1,1,4,0,37,1,29,11,6,636.02,0,69,0,18.5,2.92,1286.1,1,57.75,4.06,3967.3,8.29,1,54.4,3676.2,1,24,3.18,1715,7.45,0,0,3.04,0,7.31,1,1,0,1,1,1,1,1,1,21,1,1,1,0,1,1,0,1,1,0,0,0,"2","0","July","5","0","3","5","0","94.8","1","4","3","4","1","1","medium_spend_cust"
"98",20,15,0,0,19,7.6,0.28,-1.27,1.16,0.15,1,1,0,-1,-1,1,4,0,0,0,1,0,0,3,1,2,1,0,1,24,1,0,0,0,1,0,0,0,0,0,9,3,0,0,1,4,1,4,0,1,0,1,8,3,30.39,1,1,1,2.1,0.74,2.1,0,0,2.48,0,3.19,1,25.55,25.55,0,0,1.18,0,1.61,0,0,2.82,0,3.42,0,0,1,0,0,0,0,1,1,27,0,1,0,0,1,1,1,0,0,0,1,1,"2","1","October","2","0","1","1","0","7.6","1","2","1","1","3","3","low_spend_cust"
"102",44,13,1,13,60,12.5,2.21,0.79,5.29,1.67,0,4,1,17,4,2,3,0,0,0,3,0,0,0,1,2,1,1,1,12,1,0,0,0,0,0,0,0,0,0,2,6,1,0,1,3,1,3,1,26,0,27,11,9,335.11,1,70,0,32.3,3.48,2239.45,0,0,2.44,0,6.79,0,0,0,1,14.5,2.67,1045,6.95,0,0,2.95,0,7.12,1,0,0,0,1,1,0,0,1,20,1,1,1,0,0,1,0,0,1,0,0,0,"1","1","November","5","0","3","3","0","35.5","1","4","2","3","1","0","medium_spend_cust"
"111",70,11,0,29,224,2.6,1.37,0.31,4.46,1.49,0,4,0,-1,-1,1,2,2,0,0,0,0,0,0,1,0,-1,0,7,19,0,0,0,0,0,0,1,0,0,1,9,6,1,1,0,1,1,2,0,37,1,27,12,4,153.13,1,71,0,28.8,3.36,2049.45,1,60,4.09,4276.45,8.36,0,0,0,1,12,2.48,800,6.68,0,0,3.07,0,7.28,0,1,1,1,1,1,1,0,1,16,1,1,1,1,0,0,0,0,1,0,0,0,"4","1","March","3","0","1","5","-1","-1","-1","3","1","4","2","0","medium_spend_cust"
"114",43,14,1,1,32,10.1,1.23,0.21,2,0.7,1,3,1,11,1,2,0,0,0,0,0,0,0,0,0,2,1,0,1,20,1,0,0,1,0,0,0,0,0,0,9,2,1,1,1,4,1,2,0,15,0,12,19,2,36.77,0,26,1,5.25,1.66,114.85,0,0,2.62,0,5.17,0,0,0,0,0,1.56,0,3.87,0,0,2.68,0,5.06,0,0,0,0,0,0,0,0,1,25,1,1,1,0,0,1,1,0,0,0,0,0,"2","0","November","2","0","2","3","1","18.3","0","3","1","3","1","0","medium_spend_cust"
"115",53,10,0,29,82,4.8,0.84,-0.17,3.09,1.13,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,2,1,1,1,29,1,0,0,0,0,0,0,0,0,0,9,3,0,1,1,3,2,2,1,25,1,22,12,2,59.51,1,59,1,16.3,2.79,921,1,16.5,2.8,944.6,6.85,0,0,0,1,9,2.2,510,6.23,0,0,2.83,0,6.97,0,0,0,0,1,1,0,0,1,18,1,1,1,0,0,0,0,0,1,0,0,0,"1","0","June","4","0","1","4","1","45.6","0","2","4","4","1","0","medium_spend_cust"
"119",48,13,0,3,73,4.6,1.72,0.54,1.64,0.49,0,3,0,-1,-1,1,4,4,0,0,0,0,0,0,0,1,1,0,10,24,0,0,0,0,0,0,0,0,0,1,9,5,1,0,0,3,1,3,0,28,0,20,5,10,291.22,0,59,0,30.1,3.4,1778,1,25.25,3.23,1456.65,7.28,0,0,0,1,46.25,3.83,2510,7.83,1,28.25,3.34,1630.1,7.4,1,0,0,0,1,1,1,0,1,18,1,1,1,0,1,0,1,0,1,0,0,1,"1","1","June","1","0","2","4","0","30.8","1","2","3","4","3","4","low_spend_cust"
"122",77,15,0,28,27,6.2,0.3,-1.21,1.38,0.32,0,4,1,12,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,29,1,0,0,0,0,0,0,1,0,0,9,2,1,0,1,2,4,4,0,38,0,28,12,8,166.67,1,70,0,28.45,3.35,2011.2,1,43,3.76,3106.25,8.04,0,0,0,1,31,3.43,2090,7.64,0,0,2.86,0,7.23,1,1,0,1,1,1,1,0,1,23,1,1,1,0,0,1,0,0,1,0,0,0,"3","0","December","4","1","2","5","1","6.7","0","3","1","2","2","0","medium_spend_cust"
"129",43,8,1,8,44,10.6,1.94,0.67,2.72,1,0,5,0,-1,-1,1,8,1,0,0,0,0,0,7,1,1,1,0,4,27,0,1,0,1,0,0,0,1,0,0,9,6,1,0,1,3,3,1,0,7,0,6,8,7,224.59,1,29,0,5.45,1.7,154.9,1,20.25,3.01,616.25,6.42,0,0,0,1,40.75,3.71,1235,7.12,0,0,2.64,0,5.71,0,0,0,1,1,1,0,0,1,25,1,1,1,0,0,0,0,0,0,0,0,0,"2","1","September","1","0","1","3","1","18","0","2","2","2","1","0","medium_spend_cust"
"137",26,13,1,6,85,8.2,2.67,0.98,4.3,1.46,1,2,1,14,2,4,6,0,1,0,0,0,0,5,1,2,1,0,1,17,1,0,0,0,1,0,0,1,0,0,9,5,0,0,1,2,1,3,1,2,0,1,12,4,102.19,0,11,0,5.8,1.76,36.05,1,18,2.89,182.2,5.21,0,0,0,1,12.25,2.51,140,4.94,0,0,2.82,0,5.33,0,0,0,1,1,1,1,0,1,14,1,1,1,0,0,1,0,0,1,1,0,0,"2","0","March","5","0","3","2","1","35.7","0","4","1","3","3","0","medium_spend_cust"
"141",26,17,0,0,64,3.7,1.09,0.09,1.28,0.24,0,1,1,14,2,5,7,1,2,0,0,0,0,4,1,2,1,0,1,19,1,0,1,0,0,0,0,1,0,0,9,4,0,0,1,2,2,4,0,8,0,8,7,2,51.99,1,34,1,9.75,2.28,303.65,0,0,2.46,0,6.22,0,0,0,1,10.25,2.33,355,5.87,0,0,2.64,0,6.29,0,0,0,0,0,0,0,0,1,17,1,1,1,0,0,0,0,0,0,0,1,0,"3","1","August","2","0","3","1","0","25.1","1","3","1","1","3","0","medium_spend_cust"
"142",19,14,0,0,13,12.4,0.36,-1.03,1.25,0.23,0,2,0,-1,-1,2,7,0,0,0,0,0,0,7,0,2,1,0,1,21,1,1,0,0,0,0,0,0,0,0,9,1,1,1,1,2,4,1,0,1,0,1,10,3,84.43,1,2,0,2.3,0.83,7.05,1,12.75,2.55,26.5,3.28,0,0,0,1,43.5,3.77,35,3.56,0,0,2.68,0,3.06,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"1","1","August","6","0","1","1","0","8.4","1","3","4","4","3","0","low_spend_cust"
"157",68,12,0,7,31,15.3,2.09,0.74,2.66,0.98,0,3,0,-1,-1,1,2,2,0,0,0,0,0,0,0,1,0,0,1,30,1,0,0,0,0,1,0,0,0,1,9,1,1,1,1,3,4,3,0,14,0,13,11,3,54.75,0,42,1,6.9,1.93,276.5,1,17,2.83,688.55,6.53,1,27.7,1138.85,1,32.5,3.48,1310,7.18,0,0,2.82,0,6.57,1,0,0,0,0,0,0,1,1,17,1,1,1,0,1,1,1,0,1,0,0,0,"1","0","March","2","0","1","3","0","16.5","1","2","1","2","1","4","medium_spend_cust"
"159",29,19,0,1,156,1.1,0.12,-2.12,1.6,0.47,0,3,0,-1,-1,3,5,2,0,0,0,0,0,3,0,1,1,0,4,31,0,1,0,1,0,0,1,0,0,0,9,5,1,0,1,3,2,2,0,11,1,9,8,6,117.02,1,33,1,10.15,2.32,323.95,0,0,2.35,0,5.85,1,35.35,1124.85,0,0,1.91,0,5.44,1,29.5,3.38,908.75,6.81,1,1,0,0,0,0,0,1,1,26,1,1,1,0,1,1,1,0,1,0,0,0,"5","0","September","1","0","2","2","1","68.6","1","4","4","1","1","4","low_spend_cust"
"161",49,17,0,5,60,8.4,1.2,0.19,3.84,1.34,1,3,1,19,4,3,0,0,0,0,0,0,0,0,1,1,1,0,8,26,0,0,1,0,0,0,0,1,0,0,9,4,0,0,0,4,1,1,0,16,0,15,7,6,297.04,1,43,0,18.2,2.9,757.3,1,19.5,2.97,858.3,6.75,0,0,0,1,5.75,1.75,185,5.22,0,0,2.82,0,6.33,1,0,0,1,0,0,0,0,1,20,1,1,1,0,0,0,0,0,1,0,1,0,"2","0","August","2","0","1","4","0","36.8","1","1","4","2","1","0","medium_spend_cust"
"174",27,16,0,0,29,10.9,0.62,-0.47,2.54,0.93,1,1,1,15,3,4,2,2,0,0,0,0,0,0,1,1,0,1,3,29,0,0,1,0,0,1,0,0,0,0,9,3,0,0,0,2,4,4,0,9,1,7,14,11,487.25,1,31,1,7.8,2.05,251.55,0,0,2.3,0,5.77,1,29.3,805.05,1,20.5,3.02,590,6.38,0,0,2.82,0,6.29,0,0,0,0,0,0,0,0,1,22,1,1,1,0,1,1,1,0,0,0,0,0,"2","0","January","2","0","3","2","0","13","1","3","4","2","3","3","medium_spend_cust"
"183",66,13,0,22,53,13.5,1.72,0.54,5.44,1.69,0,5,0,-1,-1,1,1,0,1,0,0,0,0,0,0,3,1,0,1,17,1,0,1,0,0,0,0,0,0,0,9,2,0,0,0,3,2,3,1,30,0,21,5,3,77.57,0,64,0,13.1,2.57,820.7,0,0,2.48,0,6.8,0,0,0,1,6.25,1.83,455,6.12,0,0,2.92,0,7.12,0,0,0,0,0,0,0,0,1,30,1,1,1,0,1,0,0,0,1,0,0,0,"1","1","July","1","0","2","5","0","34.5","1","2","4","2","3","1","low_spend_cust"
"184",61,15,0,15,56,11.3,4.38,1.48,1.95,0.67,0,3,0,-1,-1,1,7,0,1,0,0,0,0,6,1,3,0,0,1,28,1,0,1,1,0,0,0,0,0,0,9,6,1,0,1,1,4,4,0,17,0,13,16,6,168.18,0,43,0,10.55,2.36,502.1,0,0,2.3,0,6.11,1,28.25,1276.9,1,23.75,3.17,1060,6.97,0,0,2.68,0,6.44,0,0,0,0,0,0,0,0,1,17,1,1,1,0,0,0,0,0,0,1,0,0,"2","1","December","1","0","3","5","1","33.6","0","2","1","4","3","0","medium_spend_cust"
"190",23,13,1,0,16,1.1,0.02,-4.18,0.16,-1.83,0,5,0,-1,-1,1,2,1,1,0,0,0,0,0,0,0,-1,0,10,28,0,1,0,0,0,0,0,0,0,1,9,4,0,0,1,3,1,2,0,5,0,5,10,4,123.85,1,30,0,10.2,2.32,328,0,0,2.08,0,5.34,1,26.75,789.9,0,0,1.75,0,4.74,0,0,2.54,0,5.61,0,0,0,0,0,0,0,0,1,21,0,1,1,0,1,1,1,0,0,0,0,0,"3","0","November","1","0","2","1","-1","-1","-1","2","2","1","1","1","medium_spend_cust"
"196",69,6,0,19,59,12.3,2.72,1,4.54,1.51,0,5,1,7,1,2,5,0,0,0,0,0,0,5,1,1,1,0,8,14,0,0,0,0,0,0,0,1,0,0,9,6,1,0,1,5,3,4,0,35,1,28,7,4,104.89,0,69,0,22.95,3.13,1537.45,1,22,3.09,1516.05,7.32,0,0,0,1,27.75,3.32,1865,7.53,0,0,3.1,0,7.23,0,0,0,0,1,1,0,0,1,23,1,1,1,0,0,0,0,0,1,1,0,0,"4","0","December","1","0","1","5","0","31.6","0","3","1","2","2","0","medium_spend_cust"
"199",67,10,0,35,22,14.9,1.04,0.04,2.24,0.8,0,3,0,-1,-1,1,2,2,0,0,0,0,0,0,1,5,1,0,1,22,1,0,0,0,1,0,0,0,0,1,9,2,0,0,0,2,3,1,0,30,0,24,6,6,118.56,0,60,0,16.3,2.79,997.5,1,24.5,3.2,1527.3,7.33,0,0,0,1,36.75,3.6,2200,7.7,1,40.7,3.71,2472.75,7.81,0,1,1,1,1,1,1,0,1,14,1,1,1,0,0,1,0,0,1,0,0,0,"1","1","April","3","1","3","5","0","9.7","0","5","4","3","2","0","low_spend_cust"
"209",31,16,0,1,32,15.3,1.7,0.53,3.19,1.16,1,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,2,1,0,1,23,1,0,1,0,0,1,1,0,0,0,9,4,0,0,1,4,2,1,0,13,0,13,12,3,85.41,0,46,1,13.05,2.57,579.1,1,26.25,3.27,1132.7,7.03,1,43.3,1984.15,1,12.5,2.53,575,6.35,1,46.7,3.84,2152.3,7.67,1,1,1,0,1,0,1,1,1,20,1,1,1,0,1,1,1,0,0,0,1,0,"3","0","January","2","0","1","2","1","13.7","1","1","4","4","3","4","medium_spend_cust"
"210",66,22,0,2,22,17.8,1.05,0.04,2.87,1.05,0,1,1,19,4,2,12,3,0,0,0,0,0,9,1,1,0,0,4,14,0,0,0,1,0,0,0,1,0,0,9,3,1,1,1,1,4,1,0,9,0,8,10,2,45.55,0,21,0,7.85,2.06,149.1,0,0,2.25,0,5.37,1,34.55,655.2,0,0,1.61,0,4.7,0,0,2.64,0,5.76,1,0,0,0,0,0,0,1,1,21,1,1,1,0,1,1,1,0,0,0,0,0,"2","1","December","2","1","1","4","0","6.9","0","4","1","3","2","4","medium_spend_cust"
"215",23,18,0,0,13,3.3,0.13,-2.02,0.3,-1.21,0,2,1,17,4,4,0,0,0,0,0,0,0,0,1,1,1,0,1,26,1,0,0,0,0,0,0,0,0,1,1,5,0,0,1,5,4,4,0,5,0,5,15,1,18.31,0,29,1,6.35,1.85,190,1,11.75,2.46,306.6,5.73,0,0,0,0,0,1.83,0,5.16,0,0,2.68,0,5.9,0,0,0,0,1,1,0,0,1,20,1,0,1,0,1,0,1,1,0,0,0,0,"3","1","April","2","0","3","2","0","9.7","0","2","2","3","1","1","medium_spend_cust"
"216",34,18,1,5,55,5.3,1.19,0.17,1.73,0.55,1,3,1,19,4,5,0,0,0,0,0,0,0,0,1,3,1,1,1,23,1,0,1,0,1,0,1,0,0,0,1,3,1,0,1,4,1,2,0,16,0,16,13,5,77.31,0,61,1,12.15,2.5,714.75,1,37.75,3.63,2266.05,7.73,0,0,0,1,27.25,3.31,1695,7.44,1,61.95,4.13,3814.65,8.25,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,0,0,0,"4","1","May","5","0","4","3","1","29.1","0","3","4","4","1","3","low_spend_cust"
"217",78,8,0,39,23,12.3,0.1,-2.34,2.73,1.01,0,4,0,-1,-1,1,8,1,0,0,0,0,0,7,1,1,0,0,3,21,0,0,1,0,0,0,0,0,0,0,9,5,0,0,0,5,1,4,0,39,1,30,11,1,29,0,72,0,38.1,3.64,2727.05,1,67,4.2,4976.2,8.51,0,0,0,1,42,3.74,3025,8.01,0,0,2.92,0,7.15,1,0,0,1,1,1,1,0,1,27,1,1,1,0,0,0,0,1,1,0,0,0,"2","0","May","3","1","1","5","0","9.9","0","3","3","2","2","0","medium_spend_cust"
"221",36,21,0,2,48,13.4,0.74,-0.3,5.69,1.74,0,3,0,-1,-1,1,1,1,0,0,0,0,0,0,0,2,1,0,1,39,1,0,0,1,0,0,0,0,0,0,9,2,0,1,1,3,3,3,0,8,1,10,8,2,58.69,0,28,0,8.35,2.12,254,1,24,3.18,652.9,6.48,1,38.1,1042.25,1,15,2.71,465,6.14,1,38.9,3.66,1077.4,6.98,1,0,1,1,1,1,0,1,1,23,1,1,1,1,1,1,1,1,0,1,0,0,"5","0","June","2","0","3","3","0","14.3","1","1","1","2","1","3","medium_spend_cust"
"228",70,14,0,22,21,11.8,0.32,-1.15,2.16,0.77,0,3,1,14,2,3,1,0,1,0,0,0,0,0,0,1,0,0,4,19,0,0,0,1,0,0,0,0,0,0,9,6,0,0,1,4,1,1,0,33,0,23,8,5,134.15,0,65,0,16.3,2.79,1028.05,0,0,2.3,0,6.58,0,0,0,1,11,2.4,700,6.55,0,0,2.82,0,7.1,1,0,0,0,0,0,0,1,1,16,1,1,1,0,1,1,1,0,1,0,1,0,"3","0","September","3","1","3","5","0","11.6","0","1","1","4","3","3","low_spend_cust"
"229",42,17,0,12,114,7,2.74,1.01,5.24,1.66,0,4,0,-1,-1,2,0,0,0,0,0,0,0,0,1,2,1,1,1,28,1,0,0,0,0,0,0,0,0,0,2,5,0,0,1,4,3,4,0,22,0,20,12,7,872.08,0,51,0,12.35,2.51,624.4,0,0,2.3,0,6.2,1,24.85,1270.7,1,16.75,2.82,815,6.7,0,0,2.83,0,6.68,0,0,0,0,0,0,0,0,1,18,1,1,1,0,1,1,1,0,1,0,0,0,"1","0","April","3","0","1","2","0","70.6","0","1","2","1","2","0","high_spend_cust"
